본부,지사,노선,방향,이정,형식,연장,폭원,설치연도,비고,
수도권,인천지사,경인선,서울,10,포켓형,14,3,2005,,
수도권,인천지사,경인선,서울,19,포켓형,15,3,2005,,
수도권,인천지사,경인선,인천,4,포켓형,15,2,2005,,
수도권,시흥지사,제2경인선(인천안양),인천,20,포켓형,10,3,2004,,
수도권,시흥지사,제2경인선(인천안양),안양,21,포켓형,10,3,2004,,
수도권,시흥지사,수도권제1순환선,판교,16,포켓형,10,3,2001,,
수도권,시흥지사,제2경인선(인천안양),안양,6,포켓형,10,3,2005,2005.09.30 설치,
수도권,군포지사,영동선,강릉,30,망루형,10,3,2010,2010.10.26 콘크리트 타설2010.10.29 운영,
수도권,화성지사,평택제천선,제천,3,망루형,,,,,
수도권,화성지사,서해안선,서울,296,망루형,,,,,
수도권,화성지사,서해안선,서울,312,망루형,,,,,
수도권,수원지사,경부선,서울,405,망루형,23,5,2010,,
수도권,수원지사,경부선,부산,379,기타,19,5,2010,,
수도권,수원지사,경부선,부산,365,망루형,30,5,2010,,
수도권,수원지사,경부선,서울,361,망루형,30,5,2010,,
수도권,경기광주지사,통영대전선,중부선,통영,345,망루형,15,6,2014,
수도권,경기광주지사,통영대전선,중부선,하남,333,망루형,15,6,2017,
수도권,경기광주지사,통영대전선,중부선,통영,333,망루형,15,6,2017,
강원,원주지사,영동선,강릉,121,망루형,60,4,2006,,
강원,원주지사,영동선,강릉,132,망루형,50,5,2006,,
강원,원주지사,영동선,강릉,150,망루형,50,4,2009,,
강원,원주지사,영동선,강릉,157,망루형,50,4,2009,,
강원,원주지사,영동선,인천,127,망루형,40,5,2009,,
강원,원주지사,영동선,인천,144,망루형,50,4,2006,,
강원,원주지사,영동선,인천,156,망루형,50,5,2009,,
강원,대관령지사,영동선,인천,180,망루형,50,4,2009,,
강원,대관령지사,영동선,강릉,190,망루형,40,4,2006,,
강원,대관령지사,영동선,인천,173,망루형,40,4,2017,2017년 안전시설 개선계획으로 설치,
강원,홍천지사,중앙선,부산,332,포켓형,20,6,2006,,
강원,홍천지사,중앙선,춘천,348,망루형,66,4,2004,,
강원,홍천지사,중앙선,부산,353,망루형,66,3,2009,,
강원,홍천지사,중앙선,춘천,370,망루형,66,3,2009,,
강원,춘천지사,서울양양선,양양,55,망루형,55,6,2009,,
강원,춘천지사,서울양양선,양양,71,망루형,55,6,2009,,
강원,춘천지사,서울양양선,서울,64,망루형,55,6,2009,,
강원,춘천지사,서울양양선,서울,61,망루형,55,6,2009,,
강원,춘천지사,서울양양선,서울,23,망루형,55,6,2009,,
강원,춘천지사,서울양양선,양양,17,망루형,55,6,2009,,
강원,춘천지사,서울양양선,서울,34,망루형,55,6,2009,,
