집계일자,콘존ID,DSRC차종유형구분코드,평균속도
20220201,0010CZE005,1,0
20220201,0010CZE005,2,0
20220201,0010CZE010,1,43.92
20220201,0010CZE010,2,0
20220201,0010CZE011,1,43.97
20220201,0010CZE011,2,0
20220201,0010CZE020,1,96.29
20220201,0010CZE020,2,101.59
20220201,0010CZE030,1,86.88
20220201,0010CZE030,2,86.06
20220201,0010CZE035,1,0
20220201,0010CZE035,2,0
20220201,0010CZE040,1,85.43
20220201,0010CZE040,2,84.12
20220201,0010CZE050,1,99.43
20220201,0010CZE050,2,90.77
20220201,0010CZE055,1,102.11
20220201,0010CZE055,2,89.13
20220201,0010CZE060,1,52.93
20220201,0010CZE060,2,0
20220201,0010CZE065,1,0
20220201,0010CZE065,2,0
20220201,0010CZE070,1,101.86
20220201,0010CZE070,2,88.63
20220201,0010CZE080,1,82.75
20220201,0010CZE080,2,97.99
20220201,0010CZE085,1,0
20220201,0010CZE085,2,0
20220201,0010CZE090,1,0
20220201,0010CZE090,2,0
20220201,0010CZE100,1,0
20220201,0010CZE100,2,0
20220201,0010CZE105,1,0
20220201,0010CZE105,2,0
20220201,0010CZE110,1,0
20220201,0010CZE110,2,0
20220201,0010CZE120,1,85.19
20220201,0010CZE120,2,91.36
20220201,0010CZE130,1,86.29
20220201,0010CZE130,2,83.33
20220201,0010CZE140,1,89.12
20220201,0010CZE140,2,81.35
20220201,0010CZE150,1,92.28
20220201,0010CZE150,2,82.16
20220201,0010CZE160,1,92.63
20220201,0010CZE160,2,85.84
20220201,0010CZE170,1,79.21
20220201,0010CZE170,2,88.74
20220201,0010CZE180,1,85.37
20220201,0010CZE180,2,83.53
20220201,0010CZE190,1,0
20220201,0010CZE190,2,0
20220201,0010CZE200,1,93.14
20220201,0010CZE200,2,0
20220201,0010CZE205,1,106.12
20220201,0010CZE205,2,102.28
20220201,0010CZE210,1,92.87
20220201,0010CZE210,2,97.86
20220201,0010CZE215,1,89.78
20220201,0010CZE215,2,98.2
20220201,0010CZE220,1,93.31
20220201,0010CZE220,2,92.84
20220201,0010CZE230,1,88.26
20220201,0010CZE230,2,87.13
20220201,0010CZE240,1,86.54
20220201,0010CZE240,2,93.08
20220201,0010CZE250,1,74.82
20220201,0010CZE250,2,52.64
20220201,0010CZE260,1,72.14
20220201,0010CZE260,2,41.51
20220201,0010CZE270,1,86.36
20220201,0010CZE270,2,84.17
20220201,0010CZE280,1,74.21
20220201,0010CZE280,2,70.13
20220201,0010CZE290,1,77.43
20220201,0010CZE290,2,76.44
20220201,0010CZE300,1,82.03
20220201,0010CZE300,2,87.76
20220201,0010CZE310,1,70.48
20220201,0010CZE310,2,84.45
20220201,0010CZE320,1,72.34
20220201,0010CZE320,2,94.32
20220201,0010CZE330,1,76.31
20220201,0010CZE330,2,96.78
20220201,0010CZE340,1,75.29
20220201,0010CZE340,2,102.58
20220201,0010CZE350,1,65.23
20220201,0010CZE350,2,96.97
20220201,0010CZE355,1,66.39
20220201,0010CZE355,2,96.44
20220201,0010CZE357,1,70.92
20220201,0010CZE357,2,99.56
20220201,0010CZE360,1,68.12
20220201,0010CZE360,2,95.06
20220201,0010CZE370,1,58.03
20220201,0010CZE370,2,91.02
20220201,0010CZE380,1,57.86
20220201,0010CZE380,2,90.33
20220201,0010CZE385,1,51.3
20220201,0010CZE385,2,79.72
20220201,0010CZE390,1,50.58
20220201,0010CZE390,2,84.78
20220201,0010CZE400,1,78.96
20220201,0010CZE400,2,96.34
20220201,0010CZE410,1,81.37
20220201,0010CZE410,2,94.47
20220201,0010CZE420,1,85.06
20220201,0010CZE420,2,97.47
20220201,0010CZE430,1,42.76
20220201,0010CZE430,2,51.81
20220201,0010CZE440,1,74.71
20220201,0010CZE440,2,90.34
20220201,0010CZE450,1,71.22
20220201,0010CZE450,2,84.5
20220201,0010CZE460,1,0
20220201,0010CZE460,2,0
20220201,0010CZE470,1,83.46
20220201,0010CZE470,2,0
20220201,0010CZE480,1,40.56
