일련번호,통행불편지역 이름,구분코드,조사일자,비고,시군구코드
1.14401E+12,신공덕동 2-360 좌,3,20191028, ,11440
1.14401E+12,신공덕동 139-113 좌,1,20191028, ,11440
1.14401E+12,신공덕동 139-126 좌,1,20191028, ,11440
1.14401E+12,신공덕동 139-154 우,1,20191028, ,11440
1.14401E+12,신공덕동 139-30 우,3,20191028, ,11440
1.14401E+12,신공덕동 139-13 우,1,20191028, ,11440
1.14401E+12,신공덕동 139-282 좌,1,20191028, ,11440
1.14401E+12,도화동 181-45 우,3,20191104, ,11440
1.14401E+12,도화동 182-1 좌,1,20191104, ,11440
1.14401E+12,도화동 194-8 좌,3,20191104, ,11440
1.14401E+12,도화동 196-10 우,3,20191104, ,11440
1.14401E+12,공덕동 21-13 우,1,20191022, ,11440
1.14401E+12,공덕동 22-17 우,1,20191022, ,11440
1.14401E+12,공덕동 22-8 우,1,20191022, ,11440
1.14401E+12,공덕동 115-62 좌,2,20191022, ,11440
1.14401E+12,공덕동 115-46 좌,2,20191022, ,11440
1.14401E+12,공덕동 117-2 우,3,20191022, ,11440
1.14401E+12,공덕동 117-2 좌,3,20191022, ,11440
1.14401E+12,공덕동 120-29 우,1,20191022, ,11440
1.14401E+12,공덕동 119-45 우,1,20191022, ,11440
1.14401E+12,공덕동 80-7 좌,1,20191022, ,11440
1.14401E+12,공덕동 92-5 우,1,20191022, ,11440
1.14401E+12,공덕동 92-5 좌,3,20191022, ,11440
1.14401E+12,공덕동 242-89 좌,3,20191022, ,11440
1.14401E+12,공덕동 249-22 좌,1,20191022, ,11440
1.14401E+12,공덕동 249-22 우,1,20191022, ,11440
1.14401E+12,공덕동 242-71 좌,1,20191022, ,11440
1.14401E+12,신공덕동 5-69 좌,1,20191028, ,11440
1.14401E+12,신공덕동 5-69 우,3,20191028, ,11440
1.14401E+12,신공덕동 9-24 좌,2,20191028, ,11440
1.14401E+12,신공덕동 12-6 우,2,20191028, ,11440
1.14401E+12,아현동 697-1 상,2,20191024, ,11440
1.14401E+12,아현동 703 상,2,20191024, ,11440
1.14401E+12,아현동 705 좌,3,20191024, ,11440
1.14401E+12,아현동 722-2 우,2,20191024, ,11440
1.14401E+12,아현동 724-7 좌,3,20191024, ,11440
1.14401E+12,아현동 762-12 좌,3,20191024, ,11440
1.14401E+12,아현동 802-4,2,20191024, ,11440
1.14401E+12,아현동 761-1 우,2,20191024, ,11440
1.14401E+12,아현동 743 좌,2,20191024, ,11440
1.14401E+12,아현동 748-5 우,2,20191024, ,11440
1.14401E+12,아현동 748-13 좌,2,20191024, ,11440
1.14401E+12,아현동 393-1 우,3,20191024, ,11440
1.14401E+12,아현동 424-2 좌,2,20191024, ,11440
1.14401E+12,아현동 751-1 우,2,20191024, ,11440
1.14401E+12,아현동 572-95 우,3,20191024, ,11440
1.14401E+12,아현동 570-6 좌,3,20191024, ,11440
1.14401E+12,아현동 332-7 좌,3,20191024, ,11440
1.14401E+12,아현동 572-86 좌,3,20191024, ,11440
1.14401E+12,아현동 617-60 좌,3,20191024, ,11440
1.14401E+12,공덕동 1-29 좌,3,20191022, ,11440
1.14401E+12,염리동 178-13 좌,3,20191107, ,11440
1.14401E+12,염리동 178-12 좌,3,20191107, ,11440
1.14401E+12,염리동 147-1 좌,1,20191107, ,11440
1.14401E+12,염리동 142-13 좌,1,20191107, ,11440
1.14401E+12,염리동 148-20 좌,3,20191107, ,11440
1.14401E+12,염리동 148-27 좌,3,20191107, ,11440
1.14401E+12,염리동 148-13 좌,3,20191107, ,11440
1.14401E+12,염리동 135 좌,1,20191107, ,11440
1.14401E+12,염리동 139-19 우,1,20191107, ,11440
1.14401E+12,염리동 111 좌,3,20191107, ,11440
1.14401E+12,염리동 157-18 좌,3,20191107, ,11440
1.14401E+12,염리동 157-8 좌,3,20191107, ,11440
1.14401E+12,염리동 168-12 좌,3,20191107, ,11440
1.14401E+12,노고산동 57-22 우,3,20191115, ,11440
1.14401E+12,노고산동 57-34 우,3,20191115, ,11440
1.14401E+12,노고산동 56-26 우,3,20191115, ,11440
1.14401E+12,노고산동 56-42 우,3,20191115, ,11440
1.14401E+12,노고산동 54-76 우,3,20191115, ,11440
1.14401E+12,노고산동 57-56 우,1,20191115, ,11440
1.14401E+12,노고산동 56-6 우,3,20191115, ,11440
1.14401E+12,노고산동 54-88 우,1,20191115, ,11440
1.14401E+12,노고산동 54-12 우,1,20191115, ,11440
1.14401E+12,노고산동 54-18 우,3,20191115, ,11440
1.14401E+12,공덕동 5-4 우,2,20191022, ,11440
1.14401E+12,공덕동 5-46 좌,2,20191022, ,11440
1.14401E+12,공덕동 6-48 좌,3,20191022, ,11440
1.14401E+12,공덕동 3-25 좌,2,20191022, ,11440
1.14401E+12,공덕동 4-108 좌,2,20191022, ,11440
1.14401E+12,공덕동 4-196 좌,3,20191022, ,11440
1.14401E+12,공덕동 7-37 우,3,20191022, ,11440
1.14401E+12,공덕동 7-100 좌,2,20191022, ,11440
