기간,행정자치구,횡단보도수,횡단보도수,횡단보도수,도로연장,도로연장(km당)횡단보도수
기간,행정자치구,계,신호등있는횡단보도,신호등없는횡단보도,도로연장,도로연장(km당)횡단보도수
2020,계,"37,892",…,…,"8,296",4.57
2020,종로구,"1,094",…,…,276,3.97
2020,중구,"1,366",…,…,114,11.96
2020,용산구,"1,066",…,…,281,3.79
2020,성동구,"1,170",…,…,408,2.87
2020,광진구,"1,008",…,…,325,3.11
2020,동대문구,"1,361",…,…,328,4.15
2020,중랑구,"1,544",…,…,331,4.66
2020,성북구,"1,861",…,…,633,2.94
2020,강북구,"1,264",…,…,227,5.56
2020,도봉구,990,…,…,258,3.84
2020,노원구,"1,546",…,…,293,5.28
2020,은평구,"1,515",…,…,358,4.23
2020,서대문구,"1,128",…,…,311,3.62
2020,마포구,"1,930",…,…,421,4.58
2020,양천구,"1,696",…,…,404,4.2
2020,강서구,"2,026",…,…,408,4.97
2020,구로구,"1,679",…,…,295,5.7
2020,금천구,916,…,…,188,4.88
2020,영등포구,"2,151",…,…,390,5.51
2020,동작구,"1,079",…,…,248,4.35
2020,관악구,975,…,…,322,3.03
2020,서초구,"2,028",…,…,391,5.18
2020,강남구,"2,688",…,…,434,6.19
2020,송파구,"2,185",…,…,366,5.98
2020,강동구,"1,626",…,…,286,5.69
