sido_code,sigungu_code,emd_code,week_type,velocity_AVRG_NRMLT,시도,시군구
11,11150,1115063,weekday,39.98,서울특별시,양천구
11,11090,1109074,weekday,43.75,서울특별시,강북구
11,11040,1104054,weekday,45.98,서울특별시,성동구
11,11170,1117071,weekday,47.27,서울특별시,구로구
11,11100,1110051,weekday,38.68,서울특별시,도봉구
11,11050,1105056,weekday,58.92,서울특별시,광진구
11,11010,1101064,weekday,41.94,서울특별시,종로구
11,11240,1124071,weekday,40.73,서울특별시,송파구
11,11100,1110064,weekday,41.33,서울특별시,도봉구
11,11010,1101061,weekday,42.06,서울특별시,종로구
11,11220,1122052,weekday,45.7,서울특별시,서초구
11,11070,1107072,weekday,39.35,서울특별시,중랑구
11,11110,1111072,weekday,50.32,서울특별시,노원구
11,11240,1124080,weekday,49.85,서울특별시,송파구
11,11080,1108071,weekday,41.81,서울특별시,성북구
11,11100,1110065,weekday,40.2,서울특별시,도봉구
11,11060,1106087,weekday,45.96,서울특별시,동대문구
11,11090,1109063,weekday,42.1,서울특별시,강북구
11,11180,1118058,weekday,40.4,서울특별시,금천구
11,11140,1114077,weekday,43.72,서울특별시,마포구
11,11170,1117061,weekday,40.79,서울특별시,구로구
11,11110,1111079,weekday,45.18,서울특별시,노원구
11,11160,1116065,weekday,75.76,서울특별시,강서구
11,11220,1122055,weekday,59.32,서울특별시,서초구
11,11030,1103073,weekday,42.34,서울특별시,용산구
11,11090,1109060,weekday,39.02,서울특별시,강북구
11,11160,1116069,weekday,45.36,서울특별시,강서구
11,11060,1106081,weekday,45.5,서울특별시,동대문구
11,11010,1101057,weekday,45.29,서울특별시,종로구
11,11250,1125065,weekday,41.62,서울특별시,강동구
11,11080,1108066,weekday,36.7,서울특별시,성북구
11,11020,1102070,weekday,45.2,서울특별시,중구
11,11140,1114075,weekday,53.35,서울특별시,마포구
11,11030,1103059,weekday,35.37,서울특별시,용산구
11,11020,1102065,weekday,42.41,서울특별시,중구
11,11080,1108064,weekday,44.14,서울특별시,성북구
11,11210,1121079,weekday,36.94,서울특별시,관악구
11,11160,1116054,weekday,39.94,서울특별시,강서구
11,11110,1111058,weekday,39.28,서울특별시,노원구
11,11190,1119073,weekday,40.17,서울특별시,영등포구
11,11110,1111069,weekday,37.04,서울특별시,노원구
11,11080,1108063,weekday,47.32,서울특별시,성북구
11,11060,1106090,weekday,43.53,서울특별시,동대문구
11,11230,1123059,weekday,39.27,서울특별시,강남구
11,11190,1119055,weekday,38.26,서울특별시,영등포구
11,11060,1106086,weekday,38.37,서울특별시,동대문구
11,11190,1119061,weekday,50.89,서울특별시,영등포구
11,11080,1108065,weekday,39.23,서울특별시,성북구
11,11140,1114068,weekday,65.13,서울특별시,마포구
11,11160,1116055,weekday,51.09,서울특별시,강서구
11,11150,1115066,weekday,43.46,서울특별시,양천구
11,11020,1102067,weekday,39.05,서울특별시,중구
11,11190,1119075,weekday,40.85,서울특별시,영등포구
11,11220,1122065,weekday,40.41,서울특별시,서초구
11,11080,1108085,weekday,44.79,서울특별시,성북구
11,11100,1110057,weekday,36.19,서울특별시,도봉구
11,11120,1112073,weekday,36.61,서울특별시,은평구
11,11130,1113074,weekday,41.85,서울특별시,서대문구
11,11250,1125070,weekday,43.48,서울특별시,강동구
11,11230,1123075,weekday,50.42,서울특별시,강남구
11,11160,1116058,weekday,45.77,서울특별시,강서구
11,11020,1102059,weekday,40.29,서울특별시,중구
11,11200,1120067,weekday,35.64,서울특별시,동작구
11,11080,1108061,weekday,39.05,서울특별시,성북구
11,11220,1122053,weekday,42.49,서울특별시,서초구
11,11150,1115071,weekday,41.96,서울특별시,양천구
11,11240,1124078,weekday,40.91,서울특별시,송파구
11,11210,1121052,weekday,41.27,서울특별시,관악구
11,11130,1113062,weekday,42.57,서울특별시,서대문구
11,11020,1102057,weekday,41.19,서울특별시,중구
11,11070,1107069,weekday,60.41,서울특별시,중랑구
11,11010,1101053,weekday,44.9,서울특별시,종로구
11,11160,1116073,weekday,41.02,서울특별시,강서구
11,11140,1114078,weekday,41.26,서울특별시,마포구
11,11130,1113066,weekday,40.66,서울특별시,서대문구
11,11030,1103074,weekday,52.67,서울특별시,용산구
11,11150,1115070,weekday,39.48,서울특별시,양천구
11,11050,1105065,weekday,66.99,서울특별시,광진구
11,11050,1105059,weekday,44.35,서울특별시,광진구
11,11070,1107064,weekday,45.14,서울특별시,중랑구
11,11040,1104068,weekday,46.87,서울특별시,성동구
11,11030,1103072,weekday,42.27,서울특별시,용산구
11,11190,1119054,weekday,49.34,서울특별시,영등포구
11,11010,1101067,weekday,44.75,서울특별시,종로구
11,11090,1109062,weekday,39.68,서울특별시,강북구
11,11110,1111053,weekday,55.53,서울특별시,노원구
11,11080,1108076,weekday,37.51,서울특별시,성북구
11,11200,1120065,weekday,38.74,서울특별시,동작구
11,11240,1124065,weekday,38.66,서울특별시,송파구
11,11190,1119071,weekday,41.74,서울특별시,영등포구
11,11150,1115058,weekday,40.38,서울특별시,양천구
11,11140,1114074,weekday,55.22,서울특별시,마포구
11,11250,1125051,weekday,55.82,서울특별시,강동구
11,11140,1114061,weekday,42.5,서울특별시,마포구
11,11060,1106073,weekday,52.17,서울특별시,동대문구
11,11210,1121072,weekday,42.64,서울특별시,관악구
11,11230,1123073,weekday,54.69,서울특별시,강남구
11,11250,1125054,weekday,37.23,서울특별시,강동구
11,11070,1107059,weekday,41.2,서울특별시,중랑구
11,11110,1111074,weekday,55.43,서울특별시,노원구
11,11240,1124061,weekday,47.74,서울특별시,송파구
11,11130,1113071,weekday,40.61,서울특별시,서대문구
11,11160,1116061,weekday,39.82,서울특별시,강서구
11,11050,1105058,weekday,43.17,서울특별시,광진구
11,11160,1116072,weekday,49.68,서울특별시,강서구
11,11160,1116053,weekday,40.27,서울특별시,강서구
11,11170,1117065,weekday,40.14,서울특별시,구로구
11,11010,1101055,weekday,46.06,서울특별시,종로구
11,11040,1104065,weekday,63.19,서울특별시,성동구
11,11010,1101073,weekday,37.55,서울특별시,종로구
11,11200,1120069,weekday,44.71,서울특별시,동작구
11,11140,1114072,weekday,51.47,서울특별시,마포구
11,11090,1109073,weekday,37.4,서울특별시,강북구
11,11160,1116052,weekday,43.84,서울특별시,강서구
11,11040,1104062,weekday,54.65,서울특별시,성동구
11,11180,1118061,weekday,42.96,서울특별시,금천구
11,11230,1123079,weekday,48.73,서울특별시,강남구
11,11230,1123067,weekday,40.11,서울특별시,강남구
11,11180,1118054,weekday,42.09,서울특별시,금천구
11,11090,1109072,weekday,39.76,서울특별시,강북구
11,11080,1108081,weekday,35.98,서울특별시,성북구
11,11160,1116051,weekday,47.97,서울특별시,강서구
11,11050,1105062,weekday,54.82,서울특별시,광진구
11,11120,1112065,weekday,45.11,서울특별시,은평구
11,11020,1102068,weekday,39.73,서울특별시,중구
11,11080,1108062,weekday,39.4,서울특별시,성북구
11,11180,1118053,weekday,41.8,서울특별시,금천구
11,11150,1115059,weekday,44.14,서울특별시,양천구
11,11050,1105053,weekday,48.08,서울특별시,광진구
11,11210,1121061,weekday,43.65,서울특별시,관악구
11,11230,1123053,weekday,42.41,서울특별시,강남구
11,11240,1124053,weekday,53.88,서울특별시,송파구
11,11220,1122060,weekday,40.69,서울특별시,서초구
11,11120,1112067,weekday,43.81,서울특별시,은평구
11,11120,1112066,weekday,40.59,서울특별시,은평구
11,11020,1102060,weekday,39.41,서울특별시,중구
11,11170,1117068,weekday,41.86,서울특별시,구로구
11,11160,1116064,weekday,44.17,서울특별시,강서구
11,11030,1103066,weekday,42.92,서울특별시,용산구
11,11170,1117064,weekday,45.9,서울특별시,구로구
11,11170,1117052,weekday,42.91,서울특별시,구로구
11,11100,1110061,weekday,39.26,서울특별시,도봉구
11,11200,1120052,weekday,50.6,서울특별시,동작구
11,11120,1112068,weekday,41.1,서울특별시,은평구
11,11180,1118060,weekday,38.17,서울특별시,금천구
11,11170,1117055,weekday,37.73,서울특별시,구로구
11,11040,1104057,weekday,38.49,서울특별시,성동구
11,11090,1109061,weekday,34.93,서울특별시,강북구
11,11220,1122068,weekday,52.01,서울특별시,서초구
11,11130,1113064,weekday,52.15,서울특별시,서대문구
11,11160,1116059,weekday,54.67,서울특별시,강서구
11,11250,1125067,weekday,43.51,서울특별시,강동구
11,11250,1125059,weekday,60.92,서울특별시,강동구
11,11210,1121054,weekday,42.16,서울특별시,관악구
11,11200,1120066,weekday,43.29,서울특별시,동작구
11,11240,1124067,weekday,39.37,서울특별시,송파구
11,11150,1115061,weekday,43.12,서울특별시,양천구
11,11060,1106072,weekday,51.05,서울특별시,동대문구
11,11070,1107073,weekday,43.76,서울특별시,중랑구
