sido_code,sigungu_code,emd_code,week_type,ALL_VKT,PSCR_VKT,BUS_VKT,FGCR_VKT,시도,시군구
11,11080,1108085,weekday,307828,236583,2075,69170,서울특별시,성북구
11,11020,1102059,weekday,155884,122147,912,32825,서울특별시,중구
11,11240,1124057,weekday,122260,104583,709,16967,서울특별시,송파구
11,11160,1116069,weekday,300131,241337,2340,56455,서울특별시,강서구
11,11050,1105058,weekday,67199,54334,470,12394,서울특별시,광진구
11,11230,1123080,weekday,253271,208145,2007,43119,서울특별시,강남구
11,11110,1111052,weekday,119979,101567,428,17984,서울특별시,노원구
11,11040,1104073,weekday,374500,295955,6465,72080,서울특별시,성동구
11,11070,1107073,weekday,172685,140711,1588,30385,서울특별시,중랑구
11,11210,1121078,weekday,109640,86610,719,22312,서울특별시,관악구
11,11180,1118057,weekday,421436,316119,5722,99595,서울특별시,금천구
11,11210,1121058,weekday,181315,143759,1250,36306,서울특별시,관악구
11,11140,1114060,weekday,130033,105022,747,24265,서울특별시,마포구
11,11070,1107061,weekday,41974,34018,262,7695,서울특별시,중랑구
11,11220,1122056,weekday,310012,248281,4473,57258,서울특별시,서초구
11,11220,1122055,weekday,656973,519663,12170,125140,서울특별시,서초구
11,11140,1114061,weekday,28736,23182,167,5387,서울특별시,마포구
11,11060,1106073,weekday,203318,157706,2231,43381,서울특별시,동대문구
11,11040,1104057,weekday,9974,7598,46,2330,서울특별시,성동구
11,11060,1106091,weekday,130142,99792,882,29468,서울특별시,동대문구
11,11090,1109065,weekday,88689,75134,260,13295,서울특별시,강북구
11,11130,1113052,weekday,71022,56422,469,14131,서울특별시,서대문구
11,11170,1117062,weekday,59895,42535,3927,13433,서울특별시,구로구
11,11100,1110056,weekday,27535,23840,53,3641,서울특별시,도봉구
11,11160,1116059,weekday,53822,42192,436,11194,서울특별시,강서구
11,11170,1117065,weekday,41455,27122,184,14149,서울특별시,구로구
11,11230,1123063,weekday,71615,60527,552,10536,서울특별시,강남구
11,11150,1115062,weekday,43842,34833,299,8710,서울특별시,양천구
11,11100,1110055,weekday,185552,156536,766,28251,서울특별시,도봉구
11,11160,1116058,weekday,32734,25607,192,6936,서울특별시,강서구
11,11080,1108064,weekday,261865,205731,1691,54443,서울특별시,성북구
11,11040,1104058,weekday,68277,53094,421,14762,서울특별시,성동구
11,11150,1115072,weekday,248782,196308,1810,50664,서울특별시,양천구
11,11240,1124077,weekday,417919,329190,5358,83371,서울특별시,송파구
11,11090,1109061,weekday,29626,25325,92,4209,서울특별시,강북구
11,11210,1121052,weekday,38425,30261,203,7961,서울특별시,관악구
11,11060,1106072,weekday,115580,88947,714,25919,서울특별시,동대문구
11,11240,1124078,weekday,87932,74536,704,12692,서울특별시,송파구
11,11160,1116064,weekday,599644,473872,13705,112067,서울특별시,강서구
11,11230,1123075,weekday,399241,326887,4463,67891,서울특별시,강남구
11,11050,1105055,weekday,147018,116274,1327,29417,서울특별시,광진구
11,11090,1109069,weekday,63078,53109,179,9790,서울특별시,강북구
11,11100,1110053,weekday,33057,28356,83,4618,서울특별시,도봉구
11,11010,1101069,weekday,4749,3591,20,1139,서울특별시,종로구
11,11040,1104067,weekday,338754,262219,5270,71264,서울특별시,성동구
11,11090,1109063,weekday,54840,46563,138,8138,서울특별시,강북구
11,11070,1107064,weekday,303036,236828,3934,62274,서울특별시,중랑구
11,11010,1101057,weekday,38347,30788,204,7355,서울특별시,종로구
11,11110,1111066,weekday,87102,71886,455,14761,서울특별시,노원구
11,11060,1106081,weekday,359134,282744,2174,74216,서울특별시,동대문구
11,11220,1122064,weekday,211559,169798,1685,40076,서울특별시,서초구
11,11030,1103063,weekday,643239,509957,14496,118786,서울특별시,용산구
11,11050,1105065,weekday,483470,370494,8130,104845,서울특별시,광진구
11,11070,1107070,weekday,29015,24355,152,4508,서울특별시,중랑구
11,11250,1125054,weekday,58958,51428,128,7403,서울특별시,강동구
11,11240,1124060,weekday,171341,150111,744,20486,서울특별시,송파구
11,11100,1110060,weekday,90469,77063,306,13100,서울특별시,도봉구
11,11070,1107059,weekday,47408,39252,257,7899,서울특별시,중랑구
11,11020,1102071,weekday,61377,47888,389,13100,서울특별시,중구
11,11080,1108078,weekday,114154,93603,554,19998,서울특별시,성북구
11,11160,1116070,weekday,118568,95423,695,22450,서울특별시,강서구
11,11020,1102068,weekday,72915,55931,433,16551,서울특별시,중구
11,11100,1110059,weekday,110506,93443,445,16618,서울특별시,도봉구
11,11210,1121057,weekday,124936,100097,1033,23806,서울특별시,관악구
11,11140,1114070,weekday,208362,165119,3054,40189,서울특별시,마포구
11,11140,1114068,weekday,473720,374274,7910,91536,서울특별시,마포구
11,11220,1122063,weekday,302222,244852,2422,54947,서울특별시,서초구
11,11210,1121061,weekday,104247,82873,679,20695,서울특별시,관악구
11,11220,1122059,weekday,386605,302990,11526,72090,서울특별시,서초구
11,11230,1123066,weekday,198933,162770,1571,34591,서울특별시,강남구
11,11190,1119066,weekday,48238,37403,257,10578,서울특별시,영등포구
11,11120,1112065,weekday,86305,69816,348,16142,서울특별시,은평구
11,11110,1111059,weekday,169287,136481,1231,31575,서울특별시,노원구
11,11180,1118052,weekday,420757,314428,4181,102148,서울특별시,금천구
11,11010,1101070,weekday,33169,26138,173,6858,서울특별시,종로구
11,11080,1108068,weekday,190014,149998,1242,38774,서울특별시,성북구
11,11240,1124059,weekday,196943,167023,1249,28671,서울특별시,송파구
11,11080,1108066,weekday,50696,42130,183,8383,서울특별시,성북구
11,11020,1102070,weekday,22908,18092,167,4649,서울특별시,중구
11,11030,1103072,weekday,115250,89458,621,25171,서울특별시,용산구
11,11010,1101055,weekday,252474,200247,1371,50856,서울특별시,종로구
11,11030,1103070,weekday,147688,116908,3209,27571,서울특별시,용산구
11,11200,1120054,weekday,66727,53418,317,12992,서울특별시,동작구
11,11090,1109060,weekday,130518,109964,492,20062,서울특별시,강북구
11,11220,1122054,weekday,242404,190571,6549,45284,서울특별시,서초구
11,11240,1124056,weekday,48904,43561,183,5160,서울특별시,송파구
11,11030,1103053,weekday,152016,120192,865,30960,서울특별시,용산구
11,11250,1125056,weekday,506639,388086,11309,107244,서울특별시,강동구
11,11040,1104055,weekday,194958,152366,1530,41062,서울특별시,성동구
11,11190,1119070,weekday,72091,55181,374,16536,서울특별시,영등포구
11,11060,1106088,weekday,175746,135721,1204,38821,서울특별시,동대문구
11,11250,1125055,weekday,63842,55267,183,8393,서울특별시,강동구
11,11070,1107057,weekday,66580,53317,625,12638,서울특별시,중랑구
11,11040,1104071,weekday,95050,74065,482,20502,서울특별시,성동구
11,11020,1102067,weekday,43639,34320,220,9100,서울특별시,중구
11,11060,1106071,weekday,44857,33662,222,10973,서울특별시,동대문구
11,11240,1124068,weekday,93316,80013,643,12660,서울특별시,송파구
11,11110,1111076,weekday,148856,117767,1749,29340,서울특별시,노원구
11,11230,1123065,weekday,287474,237741,2472,47261,서울특별시,강남구
11,11030,1103073,weekday,325791,259953,1756,64081,서울특별시,용산구
11,11120,1112071,weekday,350665,290971,1298,58396,서울특별시,은평구
11,11190,1119065,weekday,54483,42138,268,12077,서울특별시,영등포구
11,11190,1119062,weekday,878290,691119,9938,177234,서울특별시,영등포구
11,11230,1123058,weekday,606491,488943,6870,110678,서울특별시,강남구
11,11040,1104066,weekday,343900,271245,5284,67370,서울특별시,성동구
11,11200,1120055,weekday,4747,3777,23,948,서울특별시,동작구
11,11130,1113073,weekday,106757,83458,649,22651,서울특별시,서대문구
11,11180,1118051,weekday,602859,445946,5691,151221,서울특별시,금천구
11,11140,1114077,weekday,121809,94782,766,26261,서울특별시,마포구
11,11100,1110063,weekday,151637,127888,617,23132,서울특별시,도봉구
11,11250,1125059,weekday,272589,215241,3816,53533,서울특별시,강동구
11,11120,1112052,weekday,140982,115294,585,25103,서울특별시,은평구
11,11220,1122065,weekday,119875,96142,775,22958,서울특별시,서초구
11,11220,1122057,weekday,291484,229056,6876,55553,서울특별시,서초구
11,11210,1121062,weekday,12119,9238,78,2803,서울특별시,관악구
11,11010,1101072,weekday,117840,93058,520,24262,서울특별시,종로구
11,11170,1117064,weekday,210866,161129,1537,48200,서울특별시,구로구
11,11180,1118058,weekday,87547,67278,526,19742,서울특별시,금천구
11,11150,1115069,weekday,178877,135547,1364,41966,서울특별시,양천구
11,11240,1124081,weekday,401490,326504,9419,65567,서울특별시,송파구
11,11250,1125067,weekday,83522,70830,504,12188,서울특별시,강동구
11,11130,1113065,weekday,49436,39701,250,9485,서울특별시,서대문구
11,11020,1102055,weekday,229448,179719,1465,48263,서울특별시,중구
11,11200,1120063,weekday,117924,95557,1201,21165,서울특별시,동작구
11,11200,1120069,weekday,80298,62171,440,17687,서울특별시,동작구
11,11160,1116063,weekday,63009,49312,457,13240,서울특별시,강서구
11,11100,1110062,weekday,181903,152382,829,28691,서울특별시,도봉구
11,11190,1119073,weekday,97058,75193,493,21373,서울특별시,영등포구
11,11100,1110061,weekday,49392,42368,145,6880,서울특별시,도봉구
11,11050,1105060,weekday,47596,37715,294,9587,서울특별시,광진구
11,11080,1108065,weekday,65639,54689,210,10740,서울특별시,성북구
11,11060,1106082,weekday,333337,265048,2057,66232,서울특별시,동대문구
11,11060,1106084,weekday,80215,61713,480,18022,서울특별시,동대문구
11,11120,1112057,weekday,54502,45598,187,8717,서울특별시,은평구
11,11210,1121068,weekday,98052,76324,659,21069,서울특별시,관악구
11,11160,1116073,weekday,176039,138711,1185,36142,서울특별시,강서구
11,11040,1104052,weekday,29204,22624,151,6429,서울특별시,성동구
11,11130,1113064,weekday,236934,186282,1630,49021,서울특별시,서대문구
11,11060,1106089,weekday,76953,57876,373,18705,서울특별시,동대문구
11,11150,1115059,weekday,163150,127891,1461,33797,서울특별시,양천구
11,11250,1125052,weekday,114704,98464,579,15661,서울특별시,강동구
11,11160,1116054,weekday,160716,128346,898,31471,서울특별시,강서구
11,11020,1102072,weekday,23219,18376,136,4708,서울특별시,중구
11,11130,1113072,weekday,43849,36174,146,7528,서울특별시,서대문구
11,11030,1103051,weekday,94572,72424,469,21678,서울특별시,용산구
11,11230,1123067,weekday,144601,120809,1094,22698,서울특별시,강남구
11,11250,1125073,weekday,234535,187268,3149,44117,서울특별시,강동구
11,11230,1123079,weekday,586523,474894,8156,103473,서울특별시,강남구
11,11060,1106087,weekday,272920,211571,2421,58928,서울특별시,동대문구
11,11240,1124051,weekday,197020,153161,2758,41101,서울특별시,송파구
11,11240,1124064,weekday,132438,112889,866,18683,서울특별시,송파구
11,11070,1107071,weekday,50059,41298,284,8477,서울특별시,중랑구
11,11110,1111072,weekday,102258,79150,1229,21878,서울특별시,노원구
11,11030,1103074,weekday,1054253,833862,15475,204916,서울특별시,용산구
11,11040,1104062,weekday,337975,267452,3416,67107,서울특별시,성동구
