sido_code,sigungu_code,emd_code,week_type,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT,시도,시군구
11,11160,1116073,weekday,11528,9083,78,2367,서울특별시,강서구
11,11180,1118054,weekday,9462,7130,50,2282,서울특별시,금천구
11,11120,1112066,weekday,6171,4931,128,1112,서울특별시,은평구
11,11240,1124053,weekday,37346,29416,991,6939,서울특별시,송파구
11,11120,1112051,weekday,9088,7445,38,1605,서울특별시,은평구
11,11010,1101063,weekday,11420,9015,61,2344,서울특별시,종로구
11,11170,1117051,weekday,10956,8417,95,2445,서울특별시,구로구
11,11180,1118053,weekday,14142,10660,74,3408,서울특별시,금천구
11,11210,1121054,weekday,5953,4745,32,1176,서울특별시,관악구
11,11050,1105058,weekday,8213,6641,57,1515,서울특별시,광진구
11,11200,1120052,weekday,17908,14302,137,3469,서울특별시,동작구
11,11130,1113071,weekday,8430,6890,40,1499,서울특별시,서대문구
11,11220,1122064,weekday,21614,17348,172,4094,서울특별시,서초구
11,11180,1118061,weekday,7885,6023,49,1812,서울특별시,금천구
11,11060,1106082,weekday,21158,16823,131,4204,서울특별시,동대문구
11,11180,1118060,weekday,3788,2761,14,1013,서울특별시,금천구
11,11030,1103074,weekday,28404,22466,417,5521,서울특별시,용산구
11,11070,1107068,weekday,9926,8158,61,1708,서울특별시,중랑구
11,11150,1115063,weekday,14286,11376,118,2792,서울특별시,양천구
11,11010,1101058,weekday,10882,8648,60,2174,서울특별시,종로구
11,11250,1125073,weekday,15085,12045,203,2838,서울특별시,강동구
11,11170,1117055,weekday,8894,6693,39,2162,서울특별시,구로구
11,11070,1107064,weekday,13700,10707,178,2815,서울특별시,중랑구
11,11250,1125052,weekday,6834,5867,34,933,서울특별시,강동구
11,11030,1103072,weekday,9659,7497,52,2110,서울특별시,용산구
11,11210,1121062,weekday,5593,4263,36,1294,서울특별시,관악구
11,11220,1122068,weekday,15538,12684,203,2651,서울특별시,서초구
11,11050,1105060,weekday,9314,7381,58,1876,서울특별시,광진구
11,11110,1111053,weekday,19900,16020,146,3734,서울특별시,노원구
