sido_code,sigungu_code,emd_code,week_type,velocity_AVRG,시도,시군구
11,11150,1115063,weekday,21.58,서울특별시,양천구
11,11090,1109074,weekday,28.1,서울특별시,강북구
11,11040,1104054,weekday,29.3,서울특별시,성동구
11,11170,1117071,weekday,23.79,서울특별시,구로구
11,11100,1110051,weekday,23.18,서울특별시,도봉구
11,11050,1105056,weekday,26.54,서울특별시,광진구
11,11010,1101064,weekday,23.67,서울특별시,종로구
11,11240,1124071,weekday,25.59,서울특별시,송파구
11,11100,1110064,weekday,23.4,서울특별시,도봉구
11,11010,1101061,weekday,21.59,서울특별시,종로구
11,11220,1122052,weekday,23.68,서울특별시,서초구
11,11070,1107072,weekday,21.17,서울특별시,중랑구
11,11110,1111072,weekday,25.3,서울특별시,노원구
11,11240,1124080,weekday,26.75,서울특별시,송파구
11,11080,1108071,weekday,23.64,서울특별시,성북구
11,11100,1110065,weekday,21.84,서울특별시,도봉구
11,11060,1106087,weekday,28.15,서울특별시,동대문구
11,11090,1109063,weekday,23.58,서울특별시,강북구
11,11180,1118058,weekday,23.58,서울특별시,금천구
11,11140,1114077,weekday,21.37,서울특별시,마포구
11,11170,1117061,weekday,22.63,서울특별시,구로구
11,11110,1111079,weekday,26.4,서울특별시,노원구
11,11160,1116065,weekday,32.15,서울특별시,강서구
11,11220,1122055,weekday,28.28,서울특별시,서초구
11,11030,1103073,weekday,25.29,서울특별시,용산구
11,11090,1109060,weekday,21.95,서울특별시,강북구
11,11160,1116069,weekday,26.76,서울특별시,강서구
11,11060,1106081,weekday,24.07,서울특별시,동대문구
11,11010,1101057,weekday,23.93,서울특별시,종로구
11,11250,1125065,weekday,24.08,서울특별시,강동구
11,11250,1125070,weekday,30.25,서울특별시,강동구
11,11020,1102070,weekday,32.11,서울특별시,중구
11,11140,1114075,weekday,22.2,서울특별시,마포구
11,11030,1103059,weekday,18.37,서울특별시,용산구
11,11020,1102065,weekday,19.56,서울특별시,중구
11,11080,1108064,weekday,27.28,서울특별시,성북구
11,11210,1121079,weekday,19.17,서울특별시,관악구
11,11160,1116054,weekday,21.95,서울특별시,강서구
11,11110,1111058,weekday,22.11,서울특별시,노원구
11,11190,1119073,weekday,22.34,서울특별시,영등포구
11,11110,1111069,weekday,19.84,서울특별시,노원구
11,11080,1108063,weekday,27.86,서울특별시,성북구
11,11060,1106090,weekday,24.47,서울특별시,동대문구
11,11230,1123059,weekday,21.31,서울특별시,강남구
11,11190,1119055,weekday,19.24,서울특별시,영등포구
11,11060,1106086,weekday,18.86,서울특별시,동대문구
11,11190,1119061,weekday,25.27,서울특별시,영등포구
11,11080,1108065,weekday,22.85,서울특별시,성북구
11,11140,1114068,weekday,30.86,서울특별시,마포구
11,11150,1115066,weekday,25.06,서울특별시,양천구
11,11160,1116055,weekday,22.8,서울특별시,강서구
11,11020,1102067,weekday,17.99,서울특별시,중구
11,11190,1119075,weekday,22.87,서울특별시,영등포구
11,11220,1122065,weekday,22.03,서울특별시,서초구
11,11080,1108085,weekday,25.98,서울특별시,성북구
11,11100,1110057,weekday,21.47,서울특별시,도봉구
11,11120,1112073,weekday,19.79,서울특별시,은평구
11,11130,1113074,weekday,21.79,서울특별시,서대문구
11,11130,1113062,weekday,22.75,서울특별시,서대문구
11,11230,1123075,weekday,28.25,서울특별시,강남구
11,11160,1116058,weekday,22.16,서울특별시,강서구
11,11020,1102059,weekday,22.33,서울특별시,중구
11,11200,1120067,weekday,20.38,서울특별시,동작구
11,11080,1108061,weekday,24.96,서울특별시,성북구
11,11220,1122053,weekday,24.59,서울특별시,서초구
11,11150,1115071,weekday,25.45,서울특별시,양천구
11,11240,1124078,weekday,26.59,서울특별시,송파구
11,11210,1121052,weekday,19.21,서울특별시,관악구
11,11150,1115059,weekday,27.72,서울특별시,양천구
11,11080,1108066,weekday,17.17,서울특별시,성북구
11,11070,1107069,weekday,29.39,서울특별시,중랑구
11,11010,1101053,weekday,23.51,서울특별시,종로구
11,11160,1116073,weekday,22.56,서울특별시,강서구
11,11140,1114078,weekday,20.53,서울특별시,마포구
11,11130,1113066,weekday,20.44,서울특별시,서대문구
11,11030,1103074,weekday,31.77,서울특별시,용산구
11,11150,1115070,weekday,20.99,서울특별시,양천구
11,11050,1105065,weekday,33.74,서울특별시,광진구
11,11050,1105059,weekday,22.44,서울특별시,광진구
11,11070,1107064,weekday,24.83,서울특별시,중랑구
11,11040,1104068,weekday,23.31,서울특별시,성동구
11,11030,1103072,weekday,23.56,서울특별시,용산구
11,11190,1119054,weekday,28.31,서울특별시,영등포구
11,11010,1101067,weekday,14.67,서울특별시,종로구
11,11090,1109062,weekday,22.27,서울특별시,강북구
11,11110,1111053,weekday,29.05,서울특별시,노원구
11,11080,1108076,weekday,20.44,서울특별시,성북구
11,11200,1120065,weekday,21.28,서울특별시,동작구
11,11240,1124065,weekday,19.76,서울특별시,송파구
11,11190,1119071,weekday,22.15,서울특별시,영등포구
11,11150,1115058,weekday,24.92,서울특별시,양천구
11,11140,1114074,weekday,29.78,서울특별시,마포구
11,11250,1125051,weekday,30.06,서울특별시,강동구
11,11140,1114061,weekday,21.48,서울특별시,마포구
11,11060,1106073,weekday,27.31,서울특별시,동대문구
11,11210,1121072,weekday,27.25,서울특별시,관악구
11,11230,1123073,weekday,33.14,서울특별시,강남구
11,11250,1125054,weekday,21.05,서울특별시,강동구
11,11070,1107059,weekday,23.79,서울특별시,중랑구
11,11110,1111074,weekday,22.59,서울특별시,노원구
11,11240,1124061,weekday,20.83,서울특별시,송파구
11,11130,1113071,weekday,24.42,서울특별시,서대문구
11,11160,1116061,weekday,19.62,서울특별시,강서구
11,11050,1105058,weekday,25.0,서울특별시,광진구
11,11160,1116072,weekday,26.74,서울특별시,강서구
11,11160,1116053,weekday,19.98,서울특별시,강서구
11,11170,1117065,weekday,21.26,서울특별시,구로구
11,11010,1101055,weekday,32.92,서울특별시,종로구
11,11040,1104065,weekday,29.14,서울특별시,성동구
11,11010,1101073,weekday,21.55,서울특별시,종로구
11,11200,1120069,weekday,23.05,서울특별시,동작구
11,11140,1114072,weekday,27.36,서울특별시,마포구
11,11090,1109073,weekday,19.23,서울특별시,강북구
11,11160,1116052,weekday,23.15,서울특별시,강서구
11,11040,1104062,weekday,29.27,서울특별시,성동구
11,11180,1118061,weekday,24.21,서울특별시,금천구
11,11230,1123079,weekday,25.4,서울특별시,강남구
11,11230,1123067,weekday,22.74,서울특별시,강남구
11,11180,1118054,weekday,22.85,서울특별시,금천구
11,11090,1109072,weekday,21.38,서울특별시,강북구
11,11080,1108081,weekday,24.74,서울특별시,성북구
11,11080,1108062,weekday,22.5,서울특별시,성북구
11,11160,1116051,weekday,23.22,서울특별시,강서구
11,11120,1112065,weekday,21.91,서울특별시,은평구
11,11050,1105062,weekday,28.14,서울특별시,광진구
11,11020,1102068,weekday,24.03,서울특별시,중구
11,11180,1118053,weekday,25.83,서울특별시,금천구
11,11020,1102057,weekday,23.34,서울특별시,중구
11,11050,1105053,weekday,20.79,서울특별시,광진구
11,11210,1121061,weekday,23.38,서울특별시,관악구
11,11230,1123053,weekday,21.62,서울특별시,강남구
11,11240,1124053,weekday,30.63,서울특별시,송파구
11,11220,1122060,weekday,21.41,서울특별시,서초구
11,11120,1112067,weekday,24.13,서울특별시,은평구
11,11120,1112066,weekday,21.18,서울특별시,은평구
11,11020,1102060,weekday,21.99,서울특별시,중구
11,11170,1117068,weekday,22.61,서울특별시,구로구
11,11160,1116064,weekday,26.07,서울특별시,강서구
11,11030,1103066,weekday,27.38,서울특별시,용산구
11,11170,1117064,weekday,27.83,서울특별시,구로구
11,11170,1117052,weekday,25.62,서울특별시,구로구
11,11100,1110061,weekday,20.62,서울특별시,도봉구
11,11200,1120052,weekday,32.72,서울특별시,동작구
11,11120,1112068,weekday,25.12,서울특별시,은평구
11,11180,1118060,weekday,19.12,서울특별시,금천구
11,11170,1117055,weekday,16.39,서울특별시,구로구
11,11040,1104057,weekday,17.26,서울특별시,성동구
11,11090,1109061,weekday,19.23,서울특별시,강북구
11,11220,1122068,weekday,34.7,서울특별시,서초구
11,11130,1113064,weekday,28.0,서울특별시,서대문구
11,11160,1116059,weekday,30.44,서울특별시,강서구
