sido_code,sigungu_code,emd_code,week_type,FRIN_CG,시도,시군구
11,11020,1102054,weekday,43.02,서울특별시,중구
11,11170,1117065,weekday,55.68,서울특별시,구로구
11,11130,1113065,weekday,32.66,서울특별시,서대문구
11,11020,1102055,weekday,46.42,서울특별시,중구
11,11200,1120063,weekday,38.48,서울특별시,동작구
11,11050,1105064,weekday,55.01,서울특별시,광진구
11,11210,1121079,weekday,47.12,서울특별시,관악구
11,11230,1123052,weekday,47.29,서울특별시,강남구
11,11210,1121083,weekday,35.74,서울특별시,관악구
11,11160,1116069,weekday,50.26,서울특별시,강서구
11,11040,1104070,weekday,31.87,서울특별시,성동구
11,11150,1115051,weekday,28.36,서울특별시,양천구
11,11020,1102057,weekday,32.59,서울특별시,중구
11,11200,1120068,weekday,36.82,서울특별시,동작구
11,11150,1115059,weekday,36.81,서울특별시,양천구
11,11030,1103058,weekday,39.51,서울특별시,용산구
11,11080,1108059,weekday,58.78,서울특별시,성북구
11,11070,1107059,weekday,41.99,서울특별시,중랑구
11,11090,1109064,weekday,46.56,서울특별시,강북구
11,11190,1119061,weekday,65.32,서울특별시,영등포구
11,11010,1101057,weekday,37.4,서울특별시,종로구
11,11060,1106081,weekday,57.71,서울특별시,동대문구
11,11130,1113069,weekday,34.5,서울특별시,서대문구
11,11230,1123059,weekday,43.47,서울특별시,강남구
11,11050,1105065,weekday,58.4,서울특별시,광진구
11,11100,1110056,weekday,60.3,서울특별시,도봉구
11,11190,1119072,weekday,24.39,서울특별시,영등포구
11,11030,1103066,weekday,33.39,서울특별시,용산구
11,11020,1102068,weekday,39.0,서울특별시,중구
11,11060,1106082,weekday,49.92,서울특별시,동대문구
11,11240,1124053,weekday,77.67,서울특별시,송파구
11,11090,1109073,weekday,56.51,서울특별시,강북구
11,11220,1122055,weekday,60.24,서울특별시,서초구
11,11120,1112066,weekday,71.03,서울특별시,은평구
11,11210,1121081,weekday,31.82,서울특별시,관악구
11,11180,1118054,weekday,39.12,서울특별시,금천구
11,11140,1114059,weekday,84.97,서울특별시,마포구
11,11230,1123074,weekday,57.49,서울특별시,강남구
11,11180,1118061,weekday,38.41,서울특별시,금천구
11,11050,1105063,weekday,63.3,서울특별시,광진구
11,11230,1123058,weekday,62.55,서울특별시,강남구
11,11180,1118055,weekday,53.67,서울특별시,금천구
11,11240,1124054,weekday,56.22,서울특별시,송파구
11,11160,1116052,weekday,76.97,서울특별시,강서구
11,11010,1101070,weekday,65.53,서울특별시,종로구
11,11220,1122061,weekday,40.03,서울특별시,서초구
11,11190,1119062,weekday,71.84,서울특별시,영등포구
11,11250,1125071,weekday,34.7,서울특별시,강동구
11,11030,1103051,weekday,27.29,서울특별시,용산구
11,11140,1114072,weekday,55.87,서울특별시,마포구
11,11230,1123064,weekday,45.32,서울특별시,강남구
11,11040,1104065,weekday,52.85,서울특별시,성동구
11,11120,1112055,weekday,91.51,서울특별시,은평구
11,11190,1119071,weekday,42.52,서울특별시,영등포구
11,11210,1121080,weekday,30.73,서울특별시,관악구
11,11020,1102073,weekday,54.09,서울특별시,중구
11,11110,1111051,weekday,49.96,서울특별시,노원구
11,11050,1105057,weekday,70.09,서울특별시,광진구
11,11080,1108063,weekday,76.21,서울특별시,성북구
11,11180,1118058,weekday,26.12,서울특별시,금천구
11,11070,1107061,weekday,84.32,서울특별시,중랑구
11,11100,1110054,weekday,54.45,서울특별시,도봉구
11,11070,1107071,weekday,58.31,서울특별시,중랑구
11,11090,1109065,weekday,59.69,서울특별시,강북구
11,11060,1106087,weekday,31.2,서울특별시,동대문구
11,11120,1112072,weekday,69.82,서울특별시,은평구
11,11070,1107068,weekday,54.04,서울특별시,중랑구
11,11050,1105067,weekday,81.75,서울특별시,광진구
11,11110,1111072,weekday,89.0,서울특별시,노원구
11,11100,1110060,weekday,48.19,서울특별시,도봉구
11,11210,1121071,weekday,29.8,서울특별시,관악구
11,11130,1113068,weekday,58.62,서울특별시,서대문구
11,11080,1108058,weekday,34.85,서울특별시,성북구
11,11040,1104055,weekday,37.64,서울특별시,성동구
11,11090,1109070,weekday,44.8,서울특별시,강북구
11,11100,1110064,weekday,34.48,서울특별시,도봉구
11,11130,1113072,weekday,61.56,서울특별시,서대문구
11,11110,1111074,weekday,76.2,서울특별시,노원구
11,11120,1112060,weekday,49.21,서울특별시,은평구
11,11190,1119065,weekday,39.01,서울특별시,영등포구
11,11240,1124055,weekday,56.29,서울특별시,송파구
11,11040,1104066,weekday,57.39,서울특별시,성동구
11,11160,1116074,weekday,46.9,서울특별시,강서구
11,11040,1104062,weekday,34.96,서울특별시,성동구
11,11210,1121058,weekday,36.85,서울특별시,관악구
11,11190,1119074,weekday,53.74,서울특별시,영등포구
11,11020,1102072,weekday,74.74,서울특별시,중구
11,11160,1116059,weekday,22.01,서울특별시,강서구
11,11170,1117068,weekday,40.02,서울특별시,구로구
11,11250,1125070,weekday,24.42,서울특별시,강동구
11,11130,1113062,weekday,46.2,서울특별시,서대문구
11,11180,1118059,weekday,84.79,서울특별시,금천구
11,11200,1120073,weekday,42.19,서울특별시,동작구
11,11080,1108062,weekday,36.57,서울특별시,성북구
11,11180,1118051,weekday,62.98,서울특별시,금천구
11,11080,1108084,weekday,42.62,서울특별시,성북구
11,11250,1125055,weekday,35.65,서울특별시,강동구
11,11240,1124057,weekday,25.61,서울특별시,송파구
11,11080,1108064,weekday,64.28,서울특별시,성북구
11,11210,1121052,weekday,48.1,서울특별시,관악구
11,11250,1125074,weekday,74.46,서울특별시,강동구
11,11160,1116064,weekday,53.24,서울특별시,강서구
11,11100,1110062,weekday,37.19,서울특별시,도봉구
11,11240,1124058,weekday,40.23,서울특별시,송파구
11,11220,1122051,weekday,60.47,서울특별시,서초구
11,11070,1107065,weekday,52.15,서울특별시,중랑구
11,11190,1119054,weekday,49.94,서울특별시,영등포구
11,11220,1122064,weekday,24.23,서울특별시,서초구
11,11200,1120069,weekday,25.57,서울특별시,동작구
11,11240,1124060,weekday,36.16,서울특별시,송파구
11,11240,1124081,weekday,77.79,서울특별시,송파구
11,11140,1114063,weekday,70.91,서울특별시,마포구
11,11040,1104056,weekday,33.67,서울특별시,성동구
11,11110,1111052,weekday,37.38,서울특별시,노원구
11,11230,1123051,weekday,53.39,서울특별시,강남구
11,11050,1105060,weekday,74.69,서울특별시,광진구
11,11140,1114071,weekday,58.54,서울특별시,마포구
11,11060,1106080,weekday,53.71,서울특별시,동대문구
11,11120,1112056,weekday,68.21,서울특별시,은평구
11,11170,1117071,weekday,64.44,서울특별시,구로구
11,11120,1112059,weekday,38.18,서울특별시,은평구
11,11150,1115057,weekday,34.99,서울특별시,양천구
11,11210,1121062,weekday,38.86,서울특별시,관악구
11,11050,1105053,weekday,73.02,서울특별시,광진구
11,11160,1116067,weekday,34.39,서울특별시,강서구
11,11060,1106083,weekday,57.2,서울특별시,동대문구
11,11230,1123073,weekday,46.04,서울특별시,강남구
11,11220,1122053,weekday,39.2,서울특별시,서초구
11,11250,1125052,weekday,54.05,서울특별시,강동구
11,11240,1124069,weekday,49.46,서울특별시,송파구
11,11210,1121072,weekday,25.85,서울특별시,관악구
11,11150,1115064,weekday,50.53,서울특별시,양천구
11,11120,1112073,weekday,54.93,서울특별시,은평구
11,11040,1104054,weekday,38.91,서울특별시,성동구
