sido_code,sigungu_code,emd_code,week_type,TI_CG,시도,시군구
11,11110,1111072,weekday,93.28,서울특별시,노원구
11,11080,1108085,weekday,79.34,서울특별시,성북구
11,11100,1110065,weekday,66.01,서울특별시,도봉구
11,11100,1110053,weekday,79.33,서울특별시,도봉구
11,11230,1123075,weekday,78.4,서울특별시,강남구
11,11140,1114060,weekday,79.34,서울특별시,마포구
11,11210,1121079,weekday,67.6,서울특별시,관악구
11,11160,1116058,weekday,71.43,서울특별시,강서구
11,11230,1123063,weekday,80.16,서울특별시,강남구
11,11160,1116055,weekday,73.48,서울특별시,강서구
11,11040,1104071,weekday,77.17,서울특별시,성동구
11,11040,1104054,weekday,61.91,서울특별시,성동구
11,11080,1108065,weekday,70.17,서울특별시,성북구
11,11190,1119073,weekday,61.25,서울특별시,영등포구
11,11030,1103074,weekday,58.5,서울특별시,용산구
11,11200,1120068,weekday,57.73,서울특별시,동작구
11,11190,1119072,weekday,46.14,서울특별시,영등포구
11,11060,1106080,weekday,71.17,서울특별시,동대문구
11,11010,1101060,weekday,75.16,서울특별시,종로구
11,11160,1116052,weekday,88.83,서울특별시,강서구
11,11090,1109061,weekday,68.79,서울특별시,강북구
11,11140,1114072,weekday,74.89,서울특별시,마포구
11,11040,1104065,weekday,75.34,서울특별시,성동구
11,11100,1110059,weekday,66.39,서울특별시,도봉구
11,11100,1110051,weekday,62.36,서울특별시,도봉구
11,11220,1122052,weekday,79.64,서울특별시,서초구
11,11240,1124078,weekday,54.99,서울특별시,송파구
11,11150,1115057,weekday,57.49,서울특별시,양천구
11,11010,1101058,weekday,72.79,서울특별시,종로구
11,11190,1119054,weekday,67.02,서울특별시,영등포구
11,11150,1115058,weekday,55.55,서울특별시,양천구
11,11130,1113072,weekday,80.35,서울특별시,서대문구
11,11230,1123073,weekday,62.48,서울특별시,강남구
11,11090,1109070,weekday,66.07,서울특별시,강북구
11,11070,1107065,weekday,71.42,서울특별시,중랑구
11,11210,1121072,weekday,46.15,서울특별시,관악구
11,11100,1110054,weekday,73.42,서울특별시,도봉구
11,11140,1114074,weekday,63.04,서울특별시,마포구
11,11240,1124065,weekday,79.93,서울특별시,송파구
11,11030,1103066,weekday,52.62,서울특별시,용산구
11,11200,1120065,weekday,54.91,서울특별시,동작구
11,11110,1111053,weekday,64.06,서울특별시,노원구
11,11240,1124057,weekday,47.03,서울특별시,송파구
11,11170,1117072,weekday,73.62,서울특별시,구로구
11,11030,1103072,weekday,66.44,서울특별시,용산구
11,11180,1118051,weekday,82.23,서울특별시,금천구
11,11070,1107064,weekday,83.96,서울특별시,중랑구
11,11170,1117068,weekday,59.9,서울특별시,구로구
11,11160,1116054,weekday,83.5,서울특별시,강서구
11,11240,1124080,weekday,75.03,서울특별시,송파구
