sido_code,sigungu_code,emd_code,week_type,velocity_CG_AVRG,시도,시군구
11,11170,1117067,weekday,17.39,서울특별시,구로구
11,11050,1105062,weekday,19.26,서울특별시,광진구
11,11160,1116069,weekday,17.34,서울특별시,강서구
11,11020,1102068,weekday,13.78,서울특별시,중구
11,11060,1106081,weekday,16.53,서울특별시,동대문구
11,11010,1101057,weekday,13.02,서울특별시,종로구
11,11150,1115070,weekday,14.09,서울특별시,양천구
11,11050,1105059,weekday,12.17,서울특별시,광진구
11,11250,1125070,weekday,15.85,서울특별시,강동구
11,11130,1113062,weekday,16.91,서울특별시,서대문구
11,11150,1115059,weekday,13.05,서울특별시,양천구
11,11200,1120073,weekday,16.8,서울특별시,동작구
11,11020,1102057,weekday,13.6,서울특별시,중구
11,11040,1104068,weekday,14.33,서울특별시,성동구
11,11230,1123053,weekday,13.51,서울특별시,강남구
11,11010,1101067,weekday,12.91,서울특별시,종로구
11,11050,1105065,weekday,28.3,서울특별시,광진구
11,11040,1104065,weekday,21.12,서울특별시,성동구
11,11240,1124061,weekday,15.28,서울특별시,송파구
11,11080,1108076,weekday,15.23,서울특별시,성북구
11,11200,1120069,weekday,13.48,서울특별시,동작구
11,11140,1114072,weekday,18.44,서울특별시,마포구
11,11250,1125051,weekday,21.32,서울특별시,강동구
11,11160,1116052,weekday,17.3,서울특별시,강서구
11,11040,1104062,weekday,17.01,서울특별시,성동구
11,11180,1118061,weekday,15.31,서울특별시,금천구
11,11230,1123079,weekday,16.26,서울특별시,강남구
11,11230,1123067,weekday,13.66,서울특별시,강남구
11,11180,1118054,weekday,14.9,서울특별시,금천구
11,11170,1117065,weekday,14.48,서울특별시,구로구
11,11220,1122060,weekday,12.95,서울특별시,서초구
11,11160,1116072,weekday,20.27,서울특별시,강서구
11,11220,1122055,weekday,21.26,서울특별시,서초구
11,11230,1123075,weekday,20.26,서울특별시,강남구
11,11020,1102065,weekday,11.67,서울특별시,중구
11,11080,1108085,weekday,17.37,서울특별시,성북구
